id,details
SEC_PREAMBLE,================================================================================ FEDERAL BUREAU OF INVESTIGATION - MASTER CASE FILE CASE TITLE: OPERATION BLACK HORIZON FILE NUMBER: 268A-CH-90412 CLASSIFICATION: TOP SECRET // ORCON // LAW ENFORCEMENT SENSITIVE OFFICE OF ORIGIN: CHICAGO DIVISION (SQUAD C-14) ================================================================================
SECTION_1_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-01 12:23:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Victor Vance (The Tailor) TRANSACTION RECORD:   Originator: Marcus Thorne / Pacific Import Export Co. (San Diego, CA)   Destination Account: First National Bank Acc #8839-10294-US   Amount: $279,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-202-555-0143 active at 1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ). --------------------------------------------------------------------------------"
SECTION_2_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-01 22:00:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Sarah Lin (Accountant) TARGET LINE: +1-202-555-0143 (Marcus Thorne) -> +1-619-555-0122 (Sarah Lin) TRANSCRIPT:   [2025-08-01 22:00:00 EST] Marcus Thorne: 'Did you authorize the release for Apex Freight Logistics (1428 Elmwood Ave, Chicago IL)?'   [2025-08-01 22:00:00 EST] Sarah Lin: 'It is pending at 304 Pier Road, Gary, IN (Lakeside Bistro). We need $397,000 sent to First National Bank Acc #8839-10294-US.'   [2025-08-01 22:00:00 EST] Marcus Thorne: 'Make sure Accountant handles the transport in the Silver Audi Q7 (VIN: WA1VAAFE4CD019283).' --------------------------------------------------------------------------------"
SECTION_3_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-02 06:36:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Carlos Mendez (El Toro), Marcus Thorne (Enforcer) TARGET LINE: +1-619-555-0199 (Carlos Mendez) -> +1-202-555-0143 (Marcus Thorne) TRANSCRIPT:   [2025-08-02 06:36:00 EST] Carlos Mendez: 'Did you authorize the release for Meridian Holdings LLC (Shell Entity #8840)?'   [2025-08-02 06:36:00 EST] Marcus Thorne: 'It is pending at 1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ). We need $118,000 sent to Bank of America Acc #5540-1920-3341.'   [2025-08-02 06:36:00 EST] Carlos Mendez: 'Make sure Enforcer handles the transport in the White Freightliner Semi-Truck (Lic: TRK-9901).' --------------------------------------------------------------------------------"
SECTION_4_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-02 15:30:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Sarah Lin (Accountant), Elena Rostova (The Tsaritsa) TRANSACTION RECORD:   Originator: Sarah Lin / Pacific Import Export Co. (San Diego, CA)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $222,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-619-555-0122 active at Pier 4, Gary Port Facility, Gary, IN. --------------------------------------------------------------------------------"
SECTION_5_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-02 20:24:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Tariq Mansoor (Ghost) CELLULAR INTERCEPT DATA:   Device A: Marcus Thorne (+1-202-555-0143) | Device B: Tariq Mansoor (+1-973-555-0167)   Cell Tower Sector: T-902 (412 Oak Street, Paterson, NJ (Safehouse Alpha))   Event: Call duration 68 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_6_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-02 22:14:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Carlos Mendez (El Toro), Marcus Thorne (Enforcer) CELLULAR INTERCEPT DATA:   Device A: Carlos Mendez (+1-619-555-0199) | Device B: Marcus Thorne (+1-202-555-0143)   Cell Tower Sector: T-902 (412 Oak Street, Paterson, NJ (Safehouse Alpha))   Event: Call duration 197 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_7_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-03 03:37:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Tariq Mansoor (Ghost), Carlos Mendez (El Toro) TARGET LINE: +1-973-555-0167 (Tariq Mansoor) -> +1-619-555-0199 (Carlos Mendez) TRANSCRIPT:   [2025-08-03 03:37:00 EST] Tariq Mansoor: 'Did you authorize the release for Meridian Holdings LLC (Shell Entity #8840)?'   [2025-08-03 03:37:00 EST] Carlos Mendez: 'It is pending at 1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ). We need $433,000 sent to First National Bank Acc #8839-10294-US.'   [2025-08-03 03:37:00 EST] Tariq Mansoor: 'Make sure El Toro handles the transport in the Black 2021 Ford Explorer (IL Plate: 7XYZ-89).' --------------------------------------------------------------------------------"
SECTION_8_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-03 16:15:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Tariq Mansoor (Ghost) CELLULAR INTERCEPT DATA:   Device A: Elena Rostova (+1-312-555-0188) | Device B: Tariq Mansoor (+1-973-555-0167)   Cell Tower Sector: T-902 (1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ))   Event: Call duration 242 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_9_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-03 19:32:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Sarah Lin (Accountant), Tariq Mansoor (Ghost) CELLULAR INTERCEPT DATA:   Device A: Sarah Lin (+1-619-555-0122) | Device B: Tariq Mansoor (+1-973-555-0167)   Cell Tower Sector: T-902 (Pier 4, Gary Port Facility, Gary, IN)   Event: Call duration 317 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_10_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-04 06:20:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Marcus Thorne (Enforcer) TRANSACTION RECORD:   Originator: Elena Rostova / Pacific Import Export Co. (San Diego, CA)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $257,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-312-555-0188 active at Pier 4, Gary Port Facility, Gary, IN. --------------------------------------------------------------------------------"
SECTION_11_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-04 13:22:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Carlos Mendez (El Toro), Elena Rostova (The Tsaritsa) NARRATIVE: On 2025-08-04 13:22:00 EST, surveillance team observed Carlos Mendez operating White Freightliner Semi-Truck (Lic: TRK-9901). Subject traveled directly to 412 Oak Street, Paterson, NJ (Safehouse Alpha) where a clandestine meeting occurred with Elena Rostova. Subjects were observed discussing operations related to Meridian Holdings LLC (Shell Entity #8840). Subject Elena Rostova was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_12_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-04 18:08:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Tariq Mansoor (Ghost) CELLULAR INTERCEPT DATA:   Device A: Elena Rostova (+1-312-555-0188) | Device B: Tariq Mansoor (+1-973-555-0167)   Cell Tower Sector: T-902 (412 Oak Street, Paterson, NJ (Safehouse Alpha))   Event: Call duration 254 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_13_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-05 06:10:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Sarah Lin (Accountant), Elena Rostova (The Tsaritsa) TARGET LINE: +1-619-555-0122 (Sarah Lin) -> +1-312-555-0188 (Elena Rostova) TRANSCRIPT:   [2025-08-05 06:10:00 EST] Sarah Lin: 'Did you authorize the release for Apex Freight Logistics (1428 Elmwood Ave, Chicago IL)?'   [2025-08-05 06:10:00 EST] Elena Rostova: 'It is pending at 88 Industrial Parkway, Newark, NJ (Warehouse Depot). We need $53,000 sent to First National Bank Acc #8839-10294-US.'   [2025-08-05 06:10:00 EST] Sarah Lin: 'Make sure The Tsaritsa handles the transport in the Silver Audi Q7 (VIN: WA1VAAFE4CD019283).' --------------------------------------------------------------------------------"
